"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"148","Bonilla Island","North Coast",2019-05-28,2019,5,31.2,10.2,53.4928,-130.636,1,1
"149","Bonilla Island","North Coast",2019-05-29,2019,5,31.1,9.9,53.4928,-130.636,1,1
"150","Bonilla Island","North Coast",2019-05-30,2019,5,30.7,10.1,53.4928,-130.636,1,1
"151","Bonilla Island","North Coast",2019-05-31,2019,5,31.2,9.6,53.4928,-130.636,1,1
"152","Bonilla Island","North Coast",2019-06-01,2019,6,31,10.2,53.4928,-130.636,1,1
"153","Bonilla Island","North Coast",2019-06-02,2019,6,31.4,9.7,53.4928,-130.636,1,1
"154","Bonilla Island","North Coast",2019-06-03,2019,6,30.7,10.5,53.4928,-130.636,1,1
"155","Bonilla Island","North Coast",2019-06-04,2019,6,30.9,10.9,53.4928,-130.636,1,1
"156","Bonilla Island","North Coast",2019-06-05,2019,6,31.4,11.1,53.4928,-130.636,1,1
"157","Bonilla Island","North Coast",2019-06-06,2019,6,31.3,9.9,53.4928,-130.636,1,1
"158","Bonilla Island","North Coast",2019-06-07,2019,6,31.1,10.9,53.4928,-130.636,1,1
"159","Bonilla Island","North Coast",2019-06-08,2019,6,31,11.5,53.4928,-130.636,1,1
"160","Bonilla Island","North Coast",2019-06-09,2019,6,31.3,9.6,53.4928,-130.636,1,1
"161","Bonilla Island","North Coast",2019-06-10,2019,6,31.4,10.1,53.4928,-130.636,1,1
"162","Bonilla Island","North Coast",2019-06-11,2019,6,31.5,10.5,53.4928,-130.636,1,1
"163","Bonilla Island","North Coast",2019-06-12,2019,6,31.3,10.8,53.4928,-130.636,1,1
"164","Bonilla Island","North Coast",2019-06-13,2019,6,30.1,12,53.4928,-130.636,1,1
"165","Bonilla Island","North Coast",2019-06-14,2019,6,31.6,10.4,53.4928,-130.636,1,1
"166","Bonilla Island","North Coast",2019-06-15,2019,6,31.4,10.8,53.4928,-130.636,1,1
"167","Bonilla Island","North Coast",2019-06-16,2019,6,31.4,11.2,53.4928,-130.636,1,1
"168","Bonilla Island","North Coast",2019-06-17,2019,6,31.3,11.2,53.4928,-130.636,1,1
"169","Bonilla Island","North Coast",2019-06-18,2019,6,31.5,10.6,53.4928,-130.636,1,1
"170","Bonilla Island","North Coast",2019-06-19,2019,6,32.2,10.9,53.4928,-130.636,1,1
"171","Bonilla Island","North Coast",2019-06-20,2019,6,31.2,12,53.4928,-130.636,1,1
"172","Bonilla Island","North Coast",2019-06-21,2019,6,31.5,11.3,53.4928,-130.636,1,1
"173","Bonilla Island","North Coast",2019-06-22,2019,6,31.6,10.6,53.4928,-130.636,1,1
"174","Bonilla Island","North Coast",2019-06-23,2019,6,31.5,10.5,53.4928,-130.636,1,1
"175","Bonilla Island","North Coast",2019-06-24,2019,6,31.2,11.3,53.4928,-130.636,1,1
"176","Bonilla Island","North Coast",2019-06-25,2019,6,31.3,11,53.4928,-130.636,1,1
"177","Bonilla Island","North Coast",2019-06-26,2019,6,31.3,10.6,53.4928,-130.636,1,1
"178","Bonilla Island","North Coast",2019-06-27,2019,6,31.4,10.6,53.4928,-130.636,1,1
"179","Bonilla Island","North Coast",2019-06-28,2019,6,31.7,10.9,53.4928,-130.636,1,1
"180","Bonilla Island","North Coast",2019-06-29,2019,6,32.9,9.7,53.4928,-130.636,1,1
"181","Bonilla Island","North Coast",2019-06-30,2019,6,32.5,10,53.4928,-130.636,1,1
"182","Bonilla Island","North Coast",2019-07-01,2019,7,32.3,9.8,53.4928,-130.636,1,1
"183","Bonilla Island","North Coast",2019-07-02,2019,7,32.3,10.6,53.4928,-130.636,1,1
"184","Bonilla Island","North Coast",2019-07-03,2019,7,32.2,10.2,53.4928,-130.636,1,1
"185","Bonilla Island","North Coast",2019-07-04,2019,7,31.8,10.8,53.4928,-130.636,1,1
"186","Bonilla Island","North Coast",2019-07-05,2019,7,32,10.4,53.4928,-130.636,1,1
"187","Bonilla Island","North Coast",2019-07-06,2019,7,NA,11.2,53.4928,-130.636,1,1
"188","Bonilla Island","North Coast",2019-07-07,2019,7,NA,11.4,53.4928,-130.636,1,1
"189","Bonilla Island","North Coast",2019-07-08,2019,7,32.1,11.8,53.4928,-130.636,1,1
"190","Bonilla Island","North Coast",2019-07-09,2019,7,32.1,13.1,53.4928,-130.636,1,1
"191","Bonilla Island","North Coast",2019-07-10,2019,7,32,12.7,53.4928,-130.636,1,1
"192","Bonilla Island","North Coast",2019-07-11,2019,7,31.6,13.1,53.4928,-130.636,1,1
"193","Bonilla Island","North Coast",2019-07-12,2019,7,31.8,12.9,53.4928,-130.636,1,1
"194","Bonilla Island","North Coast",2019-07-13,2019,7,31.6,13.7,53.4928,-130.636,1,1
"195","Bonilla Island","North Coast",2019-07-14,2019,7,31.8,13.5,53.4928,-130.636,1,1
"196","Bonilla Island","North Coast",2019-07-15,2019,7,31.6,13.1,53.4928,-130.636,1,1
